unique_id,collision_id,crash_date_person,crash_time_person,person_id,person_type,person_injury,vehicle_id,person_age,ejection,emotional_status,bodily_injury,position_in_vehicle,safety_equipment,ped_location,ped_action,complaint,ped_role,contributing_factor_1,contributing_factor_2,person_sex,person_age_imputed,person_injury_clean,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_hour,crash_year,crash_month
10141767,4204250,09/12/2019,0:00,9d7ee70f-def2-4687-a155-2e2495ae4294,OCCUPANT,Unspecified,19087471.0,51.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,51.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253891,4230935,10/28/2019,6:45,ed0b11e4-bc17-4bd7-a770-a2c0ee4b2678,OCCUPANT,Unspecified,19143487.0,49.0,,,,,,,,,Registrant,,,F,49.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5953470,3440336,05/11/2016,18:10,634625,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251550,3462438,06/15/2016,21:10,965067,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197695,3494599,08/04/2016,16:55,1455188,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6303079,3548561,10/27/2016,8:30,2471818,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10260790,4232333,10/30/2019,8:51,b418c980-ea48-442a-86be-bee875dc6da8,OCCUPANT,Injured,19146910.0,49.0,Not Ejected,Conscious,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,Driver,,,M,49.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5950928,3439533,05/09/2016,17:30,617347,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017076,4175682,07/23/2019,9:00,0b5508b1-e853-4da7-9533-7204900533a7,OCCUPANT,Unspecified,19024688.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253096,4211555,09/24/2019,2:35,371daec0-9224-407f-b2ca-86cdf999187a,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10267260,4233805,10/25/2019,13:00,e1341d83-f68f-4b0a-b2a6-b60bd0ed3494,OCCUPANT,Unspecified,19150145.0,31.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,31.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6321674,3481222,07/16/2016,12:53,1247548,PEDESTRIAN,Injured,,52.0,,Conscious,Knee-Lower Leg Foot,,,Unknown,Crossing With Signal,Contusion - Bruise,Pedestrian,Unspecified,Unspecified,M,52.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253952,4230610,10/23/2019,15:30,0b264dd9-8935-4f32-930f-f1273325f6c0,OCCUPANT,Unspecified,19143521.0,38.0,,,,,,,,,Registrant,,,M,38.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9017014,4101011,03/21/2019,16:30,639dbbfc-5fcf-4cac-b440-b2f061f4ed48,OCCUPANT,Unspecified,18530911.0,36.0,,,,,,,,,Registrant,,,F,36.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765759,4022185,03/27/2016,19:06,328489,OCCUPANT,Unspecified,,49.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F,49.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6732834,3585572,12/22/2016,14:00,3151887,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7583634,3879146,04/10/2018,22:00,2fa20a16-bc69-4c36-9b9b-2d499c1c6239,OCCUPANT,Unspecified,17825136.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10266184,4232759,10/30/2019,16:00,42e0c49b-fbd2-4342-9c1f-000d2ece8f71,OCCUPANT,Unspecified,19149581.0,31.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,31.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10264045,4233441,11/01/2019,9:00,45472c51-e167-4d8b-b9b7-0e30a2d9835e,OCCUPANT,Unspecified,19148511.0,35.0,,,,,,,,,Registrant,,,F,35.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6571981,3559812,10/25/2016,15:25,2684397,OCCUPANT,Unspecified,17335855.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10272165,4233985,10/31/2019,9:33,bbb1fde4-378a-4c07-89d3-68d62f062ed6,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6748742,3552752,11/02/2016,8:10,2975812,PEDESTRIAN,Injured,,66.0,,Conscious,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Severe Bleeding,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,M,66.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6188742,3469478,06/28/2016,9:16,1087308,PEDESTRIAN,Injured,,49.0,,Conscious,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Complaint of Pain,Pedestrian,Obstruction/Debris,Unspecified,F,49.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5775329,3430070,03/30/2016,8:23,208761,PEDESTRIAN,Unspecified,,2.0,Does Not Apply,Conscious,Does Not Apply,Does Not Apply,-,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Does Not Apply,Pedestrian,,,M,2.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7236913,3709432,07/12/2017,12:30,1a303031-d3d6-4c98-8d3f-c6a5879578c6,OCCUPANT,Unspecified,17654856.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6511745,3502056,08/16/2016,14:20,1601498,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7394335,3854929,03/01/2018,20:40,f82c644b-5404-4b0f-baec-1b57958fc2ec,OCCUPANT,Unspecified,17732229.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6721820,3560614,11/15/2016,6:25,2696119,PEDESTRIAN,Injured,,47.0,,Conscious,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,Pedestrian,Unspecified,Unspecified,F,47.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10265227,4233329,10/24/2019,17:20,ad33b02f-be25-42d6-9e06-6e2649b3040c,OCCUPANT,Unspecified,19149099.0,80.0,,,,,,,,,Registrant,,,F,80.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5982116,3449793,05/24/2016,11:40,758312,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10271653,4234861,11/02/2019,9:50,aa622032-fd02-4959-ae52-8ac3bf48dd30,OCCUPANT,Unspecified,19152300.0,35.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,,,,Does Not Apply,Driver,,,F,35.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10115765,4198554,09/02/2019,12:05,70dfc3e8-2e52-4a6f-9c78-5c0bd980da0e,OCCUPANT,Unspecified,19074242.0,29.0,,,,,,,,,Registrant,,,M,29.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10276459,4235737,11/03/2019,16:00,9d233f9c-2eaa-4f34-bda1-9c246ec6c4f5,OCCUPANT,Unspecified,19154740.0,30.0,,,,,,,,,Registrant,,,F,30.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7653545,3883443,04/17/2018,16:30,e4c22197-38ba-4ba6-8051-3f939c69b3ec,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9145399,4101798,03/16/2019,15:40,b8ba5106-92ea-4f62-a828-561597074ba7,OCCUPANT,Unspecified,18594487.0,55.0,,,,,,,,,Registrant,,,F,55.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9815796,4129431,05/10/2019,20:00,29609603-d607-4ad5-b65d-918fae7f0349,OCCUPANT,Unspecified,18925017.0,37.0,,,,,,,,,Registrant,,,M,37.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5983739,3444597,05/18/2016,13:50,697318,OCCUPANT,Unspecified,17056713.0,64.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M,64.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6252153,3505915,08/18/2016,10:00,1699787,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5763155,3426940,03/26/2016,16:10,176304,OCCUPANT,Unspecified,,54.0,,,,,,,,,Registrant,,,M,54.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6452226,3547946,10/26/2016,20:55,2467495,PEDESTRIAN,Injured,,39.0,,Conscious,Hip-Upper Leg,,,Does Not Apply,Not in Roadway,Complaint of Pain,Pedestrian,Unspecified,Unspecified,M,39.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10251676,4230077,10/27/2019,17:36,567c3231-0701-4dbe-9a2d-77447745c652,OCCUPANT,Unspecified,19142364.0,26.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M,26.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
